year-month,price
2020-01,4.2689
2020-02,4.4981
2020-03,5.1981
2020-04,5.4264
2020-05,5.4257
2020-06,5.4754000000000005
2020-07,5.2027
2020-08,5.4707
2020-09,5.6401
2020-10,5.7712
2020-11,5.3311
2020-12,5.1961
2021-01,5.4753
2021-02,5.5296
2021-03,5.6967
2021-04,5.4030000000000005
2021-05,5.2316
2021-06,5.0016
2021-07,5.121
2021-08,5.1427
2021-09,5.4388
2021-10,5.6424
2021-11,5.6193
2021-12,5.5799
2022-01,5.3568
2022-02,5.1388
2022-03,4.7372
2022-04,4.9185
2022-05,4.7283
2022-06,5.2374
2022-07,5.1878
2022-08,5.1784
2022-09,5.406
2022-10,5.2564
2022-11,5.2935
2022-12,5.2171
2023-01,5.0987
2023-02,5.2072
2023-03,5.0798
2023-04,5.0001
2023-05,5.0953
2023-06,4.8186
2023-07,4.7409
2023-08,4.9213000000000005
2023-09,5.007
2023-10,5.0569
2023-11,4.9349
2023-12,4.8407
2024-01,4.9529
2024-02,4.9827
2024-03,4.9956
2024-04,5.1712
2024-05,5.241
2024-06,5.5583
2024-07,5.6615
